Filename,ColorBin_0_Ratio,ColorBin_1_Ratio,ColorBin_2_Ratio,ColorBin_3_Ratio,ColorBin_4_Ratio,ColorBin_5_Ratio,ColorBin_6_Ratio,ColorBin_7_Ratio
0001_petal_cutout.png,0.22843901793136223,0.0,0.003649119006255579,0.0,0.1976458246783076,0.1761352284309063,0.07098292098492394,0.32314788896824437
0002_petal_cutout.png,0.18352970520966766,0.010353666665257468,0.017382187443191668,8.173354020374198e-06,0.08777435342428304,0.1176652955160698,0.0545630567216677,0.5287235616658423
0003_petal_cutout.png,0.008695880799922113,0.0007996930344966541,0.6296793886929861,9.892036234008092e-05,0.011175658093742142,0.0006159094139385038,0.027467451296038968,0.32146709830653547
0004_petal_cutout.png,0.014418735753849051,0.0004843519144735697,0.6492076250615301,0.0002479360885878149,0.01789635244691006,0.004421401692902604,0.030198114709008808,0.283125482332738
0005_petal_cutout.png,0.04294170548008147,0.0019700457453470134,0.7779869828185382,0.0008205086186122878,0.029149251485038094,0.05985189307327421,0.07219366279428706,0.015085949984821729
0006_petal_cutout.png,0.025744704119646078,0.008071087728109766,0.2179409097252575,0.004470231535163674,0.21278394163217948,6.443908720375971e-05,0.5136250005983629,0.01729968557407678
0008_petal_cutout.png,0.14258726328437651,0.0,0.011668205876803606,0.0,0.28853099770608037,0.000648652942870478,0.5170892046752267,0.03947567551464236
0009_petal_cutout.png,0.0,0.2364330183018302,0.30431668166816683,0.0,0.011864311431143115,0.0,0.3613186318631863,0.08606735673567356
0010_petal_cutout.png,0.44371671735926554,0.0,0.024576911770881452,0.0,0.08465614020353028,0.18299878217780205,0.11605280629028161,0.14799864219823905
0011_petal_cutout.png,0.5411301636198637,0.0,0.003384671629957567,0.0,0.015186891374019627,0.07199793190203359,0.02253123509363227,0.34576910638049324
0012_petal_cutout.png,0.1742418021664187,0.0001302904534996369,0.011334841219617139,0.0,0.16600845185714214,0.5691688678830178,0.01504528208846711,0.06407046433183747
0013_petal_cutout.png,0.2332517079922859,0.008169207372306437,0.00512380062701458,0.0021032071582919275,0.2525450174165234,0.43401663363634196,0.020552442225598645,0.04423798357163713
0014_petal_cutout.png,0.0,0.041500351897969245,3.8908384736645965e-05,0.9543252039802467,0.004135535737047408,0.0,0.0,0.0
0015_petal_cutout.png,0.05880392567255138,0.00047743484316305153,0.007593373925233279,0.0,0.557339851783182,0.19114229168327188,0.1182740472024445,0.06636907489015388
0016_petal_cutout.png,0.0447850452619357,0.0,0.010016405372226209,0.0,0.6053176513200895,0.19303557154154802,0.06898202477709668,0.07786330172710387
0017_petal_cutout.png,0.3439508174322568,0.0003172237155266215,0.0019226800479703124,0.0,0.04666591217721668,0.08058729289713698,0.018759207228135736,0.5077968665017568
0018_petal_cutout.png,0.24423157132101547,6.065836649930619e-07,0.01425774904566192,1.2010356566862625e-05,0.04897107639241887,0.07436861312894537,0.031632003645325195,0.5865263695264014
0019_petal_cutout.png,0.07535375563601159,0.07374984716958063,0.00390896546905839,0.12333926356946985,0.3669367294539775,0.01457141360028545,0.14559636301029766,0.196543662091319
0020_petal_cutout.png,0.17230347431973347,0.010916562134368797,0.1678259033233895,0.0641149398931739,0.12586978333799598,0.08952993980130107,0.1777545090794938,0.19168488811054346
0021_petal_cutout.png,0.19043815108925108,0.009527453770782188,0.16940431916970133,0.043278200790228344,0.10798508970682442,0.07118504155362847,0.1028292582258127,0.3053524856937715
0022_petal_cutout.png,0.0,0.7171699726118824,0.0009118420323320357,0.261603950563105,0.017969416506812174,0.0,0.0023448182858684056,0.0
0023_petal_cutout.png,0.0,0.2841905216628774,0.0019363455308126316,0.7028107180418868,0.01099380335594377,0.0,6.842343201784273e-05,1.8797646158748002e-07
0024_petal_cutout.png,0.0,0.7869530045837243,0.011245623770904033,0.1778329188329875,0.022963066588573,0.0,0.000955286550341181,5.00996734700063e-05
0025_petal_cutout.png,0.0,0.2673654904206734,1.0001494960299329e-05,0.7277458841216266,0.00487204403184476,0.0,3.9479585369602614e-06,2.6319723579735076e-06
0026_petal_cutout.png,0.0,0.2531758807648656,7.951197192802949e-05,0.7293304950483283,0.01712846333352103,0.0,0.00026456830516977787,2.1080576187324545e-05
0027_petal_cutout.png,0.0,0.5845843713042262,0.0013594932913950479,0.39215409311883576,0.021889759595162525,0.0,1.2282690380447562e-05,0.0
0028_petal_cutout.png,0.0,0.31563756886370437,0.005143558576836288,0.5807030181837294,0.0900271581487025,0.0,0.008488447138256474,2.4908877100347655e-07
0029_petal_cutout.png,0.0,0.1402303471648456,1.7179542921402147e-05,0.7640311107072224,0.09570803639751087,0.0,1.1238953313066825e-05,2.0872341867124104e-06
0030_petal_cutout.png,0.12483521343124153,0.0,0.006450823390270249,0.0,0.16225645700120783,0.043301558937346614,0.09573167600215482,0.5674242712377789
