epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.46474,2.74541,3.5141,3.46871,0.00828,0.77419,0.09105,0.0409,1.10319,2.98197,1.70399,0.08642,0.00042,0.00042
2,10.8589,2.43631,3.42503,3.18257,0.00897,0.83871,0.09206,0.03743,1.12938,2.98205,1.75315,0.0718657,0.00086565,0.00086565
3,14.7531,2.16556,3.14916,2.97934,0.00862,0.80645,0.0465,0.01998,1.24937,3.08001,1.85344,0.0573068,0.0013068,0.0013068
4,18.5381,1.89225,3.01051,2.53703,0.00874,0.8172,0.08309,0.02385,1.51627,3.15458,2.09139,0.0427435,0.00174345,0.00174345
5,22.3159,1.6947,2.85443,2.36196,0.00793,0.74194,0.12354,0.03111,1.58566,3.26066,2.19551,0.0281756,0.0021756,0.0021756
6,26.0238,1.79684,2.88003,2.49711,0.00944,0.77419,0.20839,0.05937,1.68825,3.11061,2.12087,0.0136033,0.00260325,0.00260325
7,29.8934,1.61954,2.78869,2.11044,0.71745,0.10753,0.30349,0.08215,1.76283,3.08813,2.19099,0.00291,0.00291,0.00291
8,33.803,1.65041,2.52686,2.15575,0.75576,0.26625,0.47025,0.13269,1.75986,2.87764,2.17721,0.00289501,0.00289501,0.00289501
9,37.6728,1.51685,2.4717,2.13521,0.67985,0.50237,0.562,0.1791,1.83582,2.54317,2.12451,0.00288001,0.00288001,0.00288001
10,41.5766,1.55546,2.42607,2.02267,0.69073,0.60215,0.61044,0.23109,1.71018,2.27624,2.01767,0.00286501,0.00286501,0.00286501
11,45.4016,1.50622,2.12186,1.93236,0.6559,0.5914,0.65892,0.22759,1.76887,2.29774,2.05941,0.00285001,0.00285001,0.00285001
12,49.1678,1.54623,2.16307,2.03159,0.66407,0.75269,0.74574,0.23112,1.89262,2.59185,2.09553,0.00283501,0.00283501,0.00283501
13,53.0052,1.47493,2.11528,2.03319,0.67302,0.77419,0.75992,0.20825,1.96367,2.63668,2.22534,0.00282001,0.00282001,0.00282001
14,56.6693,1.44404,1.82671,1.90004,0.80838,0.77116,0.86748,0.3508,1.82034,1.87462,1.96518,0.00280501,0.00280501,0.00280501
15,60.4799,1.44589,1.98096,1.93521,0.7654,0.84199,0.87068,0.29569,1.91954,1.88811,2.13203,0.00279001,0.00279001,0.00279001
16,64.2838,1.52411,1.99162,2.04588,0.66772,0.77419,0.69085,0.19533,1.98586,2.24801,2.1541,0.00277501,0.00277501,0.00277501
17,68.036,1.42217,2.03883,1.95583,0.84129,0.91195,0.92063,0.32458,1.96807,1.79047,2.1324,0.00276001,0.00276001,0.00276001
18,71.8644,1.33974,1.85829,1.86707,0.7667,0.89247,0.90522,0.4008,1.79837,1.60503,1.98775,0.00274501,0.00274501,0.00274501
19,75.7866,1.41564,1.81856,1.87236,0.83628,0.78495,0.87749,0.30083,2.04175,1.8091,2.26755,0.00273001,0.00273001,0.00273001
20,79.8197,1.471,1.79118,1.89633,0.80238,0.82952,0.8939,0.30019,2.04419,1.76882,2.21791,0.00271501,0.00271501,0.00271501
21,83.7956,1.42349,1.86452,1.9289,0.83985,0.8172,0.87094,0.23733,2.20933,1.80047,2.47012,0.00270002,0.00270002,0.00270002
22,87.7861,1.40964,1.78571,1.88838,0.857,0.80645,0.90108,0.35135,1.9869,1.49577,2.17186,0.00268502,0.00268502,0.00268502
23,91.7977,1.33439,1.60707,1.82347,0.87509,0.82863,0.93183,0.32934,2.04871,1.57814,2.3208,0.00267002,0.00267002,0.00267002
24,95.6306,1.34966,1.71612,1.92181,0.91083,0.82796,0.92982,0.39334,1.87725,1.3383,2.1042,0.00265502,0.00265502,0.00265502
25,99.4597,1.3265,1.57648,1.82675,0.87376,0.81867,0.90082,0.33131,1.98268,1.4798,2.2865,0.00264002,0.00264002,0.00264002
26,103.594,1.38565,1.54487,1.88096,0.86988,0.87097,0.92988,0.38222,1.94235,1.38253,2.1911,0.00262502,0.00262502,0.00262502
27,107.577,1.42915,1.51224,1.76263,0.87556,0.83222,0.87801,0.24728,2.25116,1.68209,2.59253,0.00261002,0.00261002,0.00261002
28,111.545,1.35027,1.65167,1.87248,0.84783,0.80645,0.85905,0.24127,2.26269,1.53928,2.54626,0.00259502,0.00259502,0.00259502
29,115.337,1.20733,1.46624,1.80713,0.90469,0.81655,0.89036,0.27782,2.20666,1.49307,2.45128,0.00258002,0.00258002,0.00258002
30,119.252,1.34055,1.4498,1.75002,0.89264,0.83871,0.91114,0.35321,1.9673,1.2938,2.11398,0.00256502,0.00256502,0.00256502
31,123.337,1.30311,1.3614,1.71568,0.83966,0.83871,0.88395,0.43963,1.73417,1.17201,1.86479,0.00255002,0.00255002,0.00255002
32,127.467,1.26854,1.37506,1.69958,0.87679,0.86022,0.90297,0.33921,2.06653,1.23736,2.24846,0.00253502,0.00253502,0.00253502
33,131.468,1.31726,1.33002,1.67467,0.80638,0.76344,0.75312,0.21548,2.36788,1.38229,2.65727,0.00252002,0.00252002,0.00252002
34,135.486,1.23655,1.2845,1.72722,0.88329,0.84946,0.8626,0.26265,2.25305,1.34108,2.53249,0.00250502,0.00250502,0.00250502
35,139.473,1.28639,1.31686,1.6922,0.92153,0.87097,0.90832,0.26238,2.3247,1.28617,2.70143,0.00249003,0.00249003,0.00249003
36,143.323,1.29591,1.28592,1.77415,0.88677,0.91398,0.9276,0.4118,1.87672,1.05184,2.02213,0.00247503,0.00247503,0.00247503
37,147.313,1.32105,1.38104,1.7584,0.902,0.89076,0.90634,0.30004,2.21392,1.15744,2.49934,0.00246003,0.00246003,0.00246003
38,151.137,1.27831,1.24681,1.70469,0.93037,0.89247,0.93818,0.4229,1.80055,1.03335,1.95315,0.00244503,0.00244503,0.00244503
