epoch,train_loss,val_loss,val_miou,lr_backbone,lr_head,best_miou
1,0.8071475272828882,0.2700522281229496,0.8152100516057211,4.9996915812041515e-06,0.00039997532649633215,0.8152100516057211
2,0.33714537051591004,0.22356056421995163,0.9185673049049431,4.998766400914329e-06,0.00039990131207314633,0.9185673049049431
3,0.3119635527784174,0.26579471305012703,0.8098879099247049,4.9972246874049254e-06,0.00039977797499239404,0.9185673049049431
4,0.2812260253862901,0.20813217014074326,0.9363279781534283,4.9950668210706795e-06,0.00039960534568565434,0.9363279781534283
5,0.28538071702827106,0.2397368736565113,0.9094138093616333,4.992293334332821e-06,0.0003993834667466256,0.9363279781534283
6,0.26967164603146637,0.3460506275296211,0.6698484552127613,4.9889049115077e-06,0.000399112392920616,0.9363279781534283
7,0.2887674041769721,0.3618439957499504,0.6684366114459126,4.98490238863795e-06,0.000398792191091036,0.9363279781534283
8,0.2631062215024775,0.30137139558792114,0.70200842920835,4.980286753286195e-06,0.0003984229402628956,0.9363279781534283
9,0.25318610668182373,0.25807156413793564,0.8145019405768863,4.975059144291394e-06,0.0003980047315433115,0.9363279781534283
10,0.24997191266580063,0.22382685169577599,0.886656584587597,4.9692208514878445e-06,0.00039753766811902755,0.9363279781534283
11,0.23121515729210593,0.18491525575518608,0.9276648497176798,4.962773315386935e-06,0.00039702186523095476,0.9363279781534283
12,0.21782269735227933,0.15668628551065922,0.9335483273782663,4.955718126821722e-06,0.00039645745014573776,0.9363279781534283
13,0.20689331943338568,0.30615387484431267,0.7481731363705788,4.948057026554414e-06,0.00039584456212435316,0.9363279781534283
14,0.16359470310536298,0.38011307269334793,0.7168201329769572,4.939791904846869e-06,0.00039518335238774953,0.9363279781534283
15,0.15862466801296582,0.0995737174525857,0.9213079728784784,4.930924800994191e-06,0.00039447398407953536,0.9363279781534283
16,0.1510255065831271,0.14515264704823494,0.886525461255932,4.921457902821577e-06,0.00039371663222572626,0.9363279781534283
17,0.08969370004805652,0.17608468979597092,0.8434771513417197,4.911393546144495e-06,0.0003929114836915597,0.9363279781534283
18,0.1241274086589163,0.053364742547273636,0.9377731489888592,4.900734214192357e-06,0.00039205873713538873,0.9377731489888592
19,0.12856500765139406,0.1754437368363142,0.8499030120021891,4.889482536995824e-06,0.0003911586029596661,0.9377731489888592
20,0.08953287655656988,0.32146268151700497,0.7882307817262717,4.877641290737883e-06,0.0003902113032590308,0.9377731489888592
21,0.1256544508717277,0.065455072093755,0.9313841017817832,4.865213397068862e-06,0.00038921707176550914,0.9377731489888592
22,0.04628708975558931,0.05046989582479,0.9391605181299014,4.8522019223855625e-06,0.0003881761537908452,0.9391605181299014
23,0.07385943694548174,0.07043161615729332,0.9213554911041968,4.838610077074667e-06,0.0003870888061659736,0.9391605181299014
24,0.038763566789301956,0.10229927394539118,0.8966250337471597,4.824441214720627e-06,0.0003859552971776504,0.9391605181299014
