epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,510.675,1.92494,3.22877,2.37321,0.00851,0.7957,0.0944,0.04297,1.17149,2.97649,1.74196,0.08642,0.00042,0.00042
2,867.725,1.69573,3.24875,2.16294,0.0076,0.6129,0.07188,0.0285,1.07107,2.96051,1.64788,0.0718657,0.00086565,0.00086565
3,1382.08,1.38474,2.97209,1.93629,0.00908,0.84946,0.14568,0.06267,1.1458,2.9804,1.70907,0.0573068,0.0013068,0.0013068
4,1815.2,1.28,2.86085,1.84031,0.00977,0.91398,0.33366,0.14342,1.18975,2.94004,1.6073,0.0427435,0.00174345,0.00174345
5,2203.51,1.1222,2.66763,1.61534,0.00885,0.82796,0.47752,0.25881,1.14325,2.84366,1.51621,0.0281756,0.0021756,0.0021756
6,2209.14,1.18762,2.63819,1.75617,0.62521,0.45161,0.55676,0.32879,1.19194,2.68687,1.52311,0.0136033,0.00260325,0.00260325
7,2733.66,1.23973,2.52153,1.68977,0.90389,0.40458,0.65386,0.3464,1.37203,2.47196,1.64732,0.00291,0.00291,0.00291
8,2957.57,1.18461,2.13335,1.6075,0.85163,0.49462,0.70525,0.39876,1.40098,1.96968,1.58251,0.00289501,0.00289501,0.00289501
9,3459.69,1.03656,1.89969,1.49366,0.71203,0.77104,0.84226,0.47836,1.39119,1.70786,1.57298,0.00288001,0.00288001,0.00288001
10,3467.06,1.1227,2.00519,1.50641,0.82724,0.7957,0.88401,0.47757,1.4254,1.68362,1.66525,0.00286501,0.00286501,0.00286501
11,3772.07,1.13836,1.66171,1.48695,0.8308,0.8172,0.89612,0.53435,1.34155,1.50998,1.55449,0.00285001,0.00285001,0.00285001
12,4080.73,1.08838,1.73359,1.49177,0.92173,0.83871,0.93574,0.60024,1.14674,1.43298,1.40003,0.00283501,0.00283501,0.00283501
13,4385.71,1.05531,1.65836,1.54418,0.84924,0.88172,0.93587,0.61805,1.24259,1.31991,1.49859,0.00282001,0.00282001,0.00282001
14,4571.3,0.99492,1.45655,1.4104,0.83676,0.8172,0.91277,0.58312,1.30385,1.30482,1.54841,0.00280501,0.00280501,0.00280501
15,4726.22,0.99887,1.52923,1.41916,0.85365,0.80645,0.91724,0.61566,1.22657,1.21769,1.45501,0.00279001,0.00279001,0.00279001
16,4731.94,1.05082,1.60631,1.54396,0.85052,0.84946,0.91957,0.58879,1.24376,1.19342,1.49414,0.00277501,0.00277501,0.00277501
17,4737.73,1.03928,1.52995,1.50131,0.87854,0.83871,0.90393,0.55151,1.34495,1.23823,1.55057,0.00276001,0.00276001,0.00276001
18,5172.38,0.94357,1.42016,1.38806,0.88244,0.88172,0.94589,0.6639,1.13711,1.06527,1.39807,0.00274501,0.00274501,0.00274501
19,5178.02,0.9708,1.45853,1.40423,0.92992,0.85608,0.95373,0.62621,1.20141,1.04926,1.4755,0.00273001,0.00273001,0.00273001
20,5183.85,1.00606,1.39062,1.43785,0.93907,0.90323,0.9629,0.64432,1.18388,0.99966,1.47216,0.00271501,0.00271501,0.00271501
21,5190.52,0.95515,1.40165,1.41077,0.91353,0.86022,0.95196,0.656,1.13209,1.02342,1.40648,0.00270002,0.00270002,0.00270002
22,5500.05,0.94662,1.3351,1.39571,0.90268,0.87097,0.95549,0.63359,1.1726,1.02396,1.44915,0.00268502,0.00268502,0.00268502
23,5505.42,0.94288,1.27913,1.38558,0.89304,0.89777,0.95791,0.6554,1.16773,1.01553,1.42169,0.00267002,0.00267002,0.00267002
24,5510.78,0.97254,1.3119,1.47344,0.90085,0.91398,0.96267,0.60391,1.33946,1.01688,1.59724,0.00265502,0.00265502,0.00265502
25,5516.34,1.00544,1.235,1.43163,0.97507,0.84104,0.96632,0.65308,1.23843,0.97365,1.46985,0.00264002,0.00264002,0.00264002
26,5521.9,0.9771,1.18668,1.44615,0.89463,0.94624,0.97444,0.65624,1.19091,0.95064,1.43847,0.00262502,0.00262502,0.00262502
27,5528.02,0.94577,1.13646,1.27098,0.91372,0.93548,0.97636,0.646,1.24714,0.90059,1.46271,0.00261002,0.00261002,0.00261002
