epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.42323,1.68211,29.1591,2.28612,0.00184,0.94118,0.00907,0.00378,1.186,5.77626,1.83529,0.08642,0.00042,0.00042
2,7.11945,2.16879,8.12347,3.02847,0.0026,0.94118,0.01272,0.00462,1.34826,3.73309,1.906,0.0718657,0.00086565,0.00086565
3,9.56123,2.07768,4.71098,2.95258,0.00255,0.94118,0.02383,0.00677,1.34648,3.26179,1.82476,0.0573068,0.0013068,0.0013068
4,12.3124,1.6894,4.79541,2.21574,0.00229,0.94118,0.04901,0.01106,1.55962,3.39679,2.32787,0.0427435,0.00174345,0.00174345
5,14.3607,1.55025,4.32477,2.14372,0.00251,1,0.03501,0.00962,1.66483,3.38423,2.29935,0.0281756,0.0021756,0.0021756
6,16.6291,1.78248,4.81135,2.29976,0.00228,0.94118,0.02074,0.00638,1.73017,3.41121,2.31634,0.0136033,0.00260325,0.00260325
7,18.8136,1.69236,4.44272,2.14828,0.00214,0.88235,0.01176,0.0032,1.86165,3.42004,2.43022,0.00291,0.00291,0.00291
8,21.3159,1.33857,4.08717,1.95903,0.00248,0.94118,0.01414,0.00338,2.4286,3.43147,2.88136,0.00289501,0.00289501,0.00289501
9,23.7438,1.59547,4.20107,1.9558,0.00194,0.76471,0.05096,0.01597,2.09048,3.44959,2.59776,0.00288001,0.00288001,0.00288001
10,26.0899,1.19937,4.18196,1.79152,0.00183,0.64706,0.03821,0.01006,2.26847,3.50686,2.79021,0.00286501,0.00286501,0.00286501
11,28.3987,1.99294,3.98681,2.57032,0.00251,0.70588,0.0521,0.01504,1.95608,3.58309,2.6562,0.00285001,0.00285001,0.00285001
12,30.7392,1.77398,4.06004,2.30477,0.00269,0.64706,0.04472,0.01428,1.83966,3.64506,2.59483,0.00283501,0.00283501,0.00283501
13,32.9853,1.01002,4.08521,1.51389,0.00265,0.64706,0.08567,0.01404,2.00015,3.63072,2.71885,0.00282001,0.00282001,0.00282001
14,35.0877,1.24903,3.83163,1.89609,0.00306,0.64706,0.08878,0.02277,1.93348,3.61212,2.72378,0.00280501,0.00280501,0.00280501
15,37.4546,1.81976,3.99137,2.25784,0.25192,0.05882,0.08759,0.02773,2.02663,3.59854,2.79086,0.00279001,0.00279001,0.00279001
16,39.5748,1.24441,3.55453,1.83987,0.14045,0.11765,0.06094,0.01992,1.85033,3.51662,2.60135,0.00277501,0.00277501,0.00277501
17,41.6143,1.18592,4.05908,1.68373,0.16228,0.11765,0.04561,0.01761,1.69511,3.61441,2.46438,0.00276001,0.00276001,0.00276001
18,44.1757,1.19483,3.90278,1.71928,0.2457,0.11765,0.10064,0.02941,1.86087,3.3578,2.57224,0.00274501,0.00274501,0.00274501
19,46.7155,1.11786,3.75601,1.6987,0.00454,0.64706,0.03877,0.01205,2.19696,3.41714,2.96145,0.00273001,0.00273001,0.00273001
20,49.4263,1.14938,3.78879,1.62979,0.00459,0.64706,0.03676,0.01287,2.15512,3.33619,2.89253,0.00271501,0.00271501,0.00271501
21,51.3879,1.19371,3.75217,1.63297,0.08353,0.35294,0.06302,0.01973,2.1245,3.11921,2.78647,0.00270002,0.00270002,0.00270002
22,53.3597,1.25034,4.21886,1.51414,0.0049,0.64706,0.05775,0.01984,2.12294,3.18298,2.81413,0.00268502,0.00268502,0.00268502
23,55.3972,1.12161,3.73981,1.56545,0.00389,0.64706,0.05768,0.02074,1.86003,3.26925,2.52195,0.00267002,0.00267002,0.00267002
24,58.1555,1.05913,3.58557,1.66447,0.00362,0.64706,0.09343,0.02523,1.89256,3.3617,2.57251,0.00265502,0.00265502,0.00265502
25,60.199,1.03228,3.67542,1.47328,0.00381,0.64706,0.04301,0.02097,1.81051,3.40589,2.5098,0.00264002,0.00264002,0.00264002
26,63.1083,1.01644,3.40738,1.69137,0.0622,0.41176,0.05641,0.01935,1.85031,3.31338,2.64458,0.00262502,0.00262502,0.00262502
27,65.2023,1.03426,3.63496,1.51499,0.14139,0.1264,0.0773,0.02378,2.03996,3.36802,2.89387,0.00261002,0.00261002,0.00261002
28,68.0799,1.06971,3.43067,1.6773,0.00593,0.64706,0.03718,0.01125,1.97897,3.62689,2.92399,0.00259502,0.00259502,0.00259502
29,71.2632,1.17841,3.45752,1.67661,0.0072,0.64706,0.03921,0.01011,2.00454,3.54664,3.01473,0.00258002,0.00258002,0.00258002
30,73.2452,1.2655,3.33591,1.84134,0.0075,0.64706,0.04131,0.01162,1.92472,3.53104,3.01464,0.00256502,0.00256502,0.00256502
31,75.3392,1.36928,3.18233,2.03826,0.14447,0.17647,0.09505,0.01932,2.16974,3.22292,3.27435,0.00255002,0.00255002,0.00255002
32,77.5694,1.43567,3.43518,1.83899,0.25566,0.29412,0.15986,0.03198,2.24788,3.00804,3.40322,0.00253502,0.00253502,0.00253502
33,79.9035,1.02082,3.12209,1.46765,0.13302,0.23529,0.10059,0.03832,2.01685,2.96671,2.90534,0.00252002,0.00252002,0.00252002
34,82.5444,1.54753,3.20211,2.13063,0.33124,0.23529,0.15561,0.04525,1.93851,3.00049,2.65116,0.00250502,0.00250502,0.00250502
35,84.7611,1.36136,3.01612,1.97421,0.37726,0.29412,0.20047,0.05862,1.86508,2.98666,2.54004,0.00249003,0.00249003,0.00249003
36,87.6214,1.21002,3.1166,1.71272,0.24497,0.17647,0.16469,0.04167,1.92887,3.17359,2.54751,0.00247503,0.00247503,0.00247503
37,89.8931,1.43942,3.1977,1.83738,0.14378,0.29412,0.08351,0.02523,2.01951,3.27914,2.65592,0.00246003,0.00246003,0.00246003
38,92.5463,1.56751,3.22246,2.10229,0.10029,0.11765,0.08816,0.02374,2.05742,3.30994,2.66704,0.00244503,0.00244503,0.00244503
39,94.672,1.37059,3.07317,1.91669,0.10404,0.17647,0.07742,0.0214,2.13803,3.23997,2.76885,0.00243003,0.00243003,0.00243003
40,97.2423,1.2745,3.09198,2.00088,0.1041,0.23529,0.0519,0.01608,2.10621,3.277,2.82898,0.00241503,0.00241503,0.00241503
41,99.2956,1.1887,3.01902,1.82759,0.13602,0.11765,0.08906,0.02473,2.08238,3.20465,2.68063,0.00240003,0.00240003,0.00240003
42,101.505,1.18577,3.08846,1.68284,0.00733,0.64706,0.09218,0.02317,2.02986,3.28444,2.5663,0.00238503,0.00238503,0.00238503
43,103.925,1.07853,3.03825,1.60247,0.00767,0.64706,0.11391,0.03659,2.12083,3.2311,2.65239,0.00237003,0.00237003,0.00237003
44,106.391,1.33702,2.79855,1.99814,0.28869,0.23529,0.16774,0.05032,2.19572,3.01579,2.79481,0.00235503,0.00235503,0.00235503
45,108.56,1.09303,2.81445,1.60494,0.35717,0.23529,0.18335,0.05372,2.20713,3.03502,2.85423,0.00234003,0.00234003,0.00234003
46,110.906,1.32585,2.96942,1.84833,0.40918,0.32699,0.20843,0.06596,2.24915,2.91156,2.96267,0.00232503,0.00232503,0.00232503
47,113.322,1.20905,3.00072,1.68637,0.40418,0.28027,0.19118,0.06376,2.11558,2.92258,2.75885,0.00231003,0.00231003,0.00231003
48,115.678,1.14504,2.76702,1.84955,0.24499,0.2294,0.17496,0.05438,1.95154,2.85235,2.47434,0.00229504,0.00229504,0.00229504
49,117.931,1.18366,3.01823,1.50116,0.42713,0.35294,0.24482,0.06454,2.18116,2.93119,2.80557,0.00228004,0.00228004,0.00228004
50,119.999,1.10436,2.69798,1.63077,0.33362,0.29412,0.20606,0.07993,2.24749,2.94753,2.91078,0.00226504,0.00226504,0.00226504
51,122.449,1.21644,2.72973,1.54675,0.16825,0.11765,0.12288,0.05365,2.48285,3.22131,3.35256,0.00225004,0.00225004,0.00225004
52,125.047,0.99956,2.7262,1.48005,0.20115,0.11765,0.09045,0.03744,2.39748,3.50631,3.1027,0.00223504,0.00223504,0.00223504
53,127.462,0.96895,2.78804,1.33,0.19813,0.23529,0.1371,0.05428,2.0044,3.20588,2.6308,0.00222004,0.00222004,0.00222004
54,129.883,1.12886,2.76967,1.55811,0.16068,0.11765,0.11346,0.04621,1.98903,3.22121,2.62192,0.00220504,0.00220504,0.00220504
55,132.06,1.12828,2.70035,1.58505,0.11875,0.11765,0.12721,0.05769,2.00333,3.05853,2.74446,0.00219004,0.00219004,0.00219004
56,134.204,1.18283,2.77522,1.61673,0.202,0.23529,0.16025,0.06634,1.91103,3.00336,2.56671,0.00217504,0.00217504,0.00217504
57,136.56,1.10366,2.73241,1.58435,0.18329,0.29412,0.16535,0.05775,1.95404,2.9346,2.60039,0.00216004,0.00216004,0.00216004
58,139.678,1.0109,2.80496,1.49673,0.1708,0.13415,0.09356,0.03155,2.00221,3.19167,2.72463,0.00214504,0.00214504,0.00214504
59,141.982,1.02907,2.6735,1.41286,0.17535,0.29412,0.12967,0.03916,2.17174,3.2107,2.88543,0.00213004,0.00213004,0.00213004
60,144.264,1.06143,2.84041,1.29118,0.17572,0.58824,0.27836,0.07683,2.13868,3.01977,2.7302,0.00211504,0.00211504,0.00211504
61,146.393,1.53372,3.00847,2.176,0.29813,0.05882,0.26194,0.07585,2.128,2.94776,2.67655,0.00210005,0.00210005,0.00210005
62,148.473,0.92744,2.71436,1.3491,0.1532,0.05882,0.25857,0.07059,2.16233,2.95981,2.73078,0.00208505,0.00208505,0.00208505
63,151.203,1.24324,2.76507,1.75252,0.20397,0.11765,0.17351,0.04219,2.25845,3.03734,2.93218,0.00207005,0.00207005,0.00207005
64,153.823,1.40414,2.784,1.86533,0.17934,0.11765,0.16198,0.04636,2.16054,2.99545,2.81694,0.00205505,0.00205505,0.00205505
65,156.483,1.30921,2.66595,1.85178,0.18581,0.41176,0.12353,0.03366,2.21221,2.87455,2.95911,0.00204005,0.00204005,0.00204005
66,158.974,1.15815,2.73279,1.47151,0.22546,0.41098,0.14503,0.03511,2.2198,2.96651,3.01166,0.00202505,0.00202505,0.00202505
