epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,99.7358,1.34544,2.98058,2.01442,0.07258,0.07143,0.05318,0.02194,1.43891,2.93209,1.69624,0.00238503,0.00238503,0.00238503
43,102.231,1.05842,3.12995,1.53909,0.05644,0.03571,0.05907,0.02328,1.44398,2.83885,1.7127,0.00237003,0.00237003,0.00237003
44,104.511,1.34084,3.13381,1.85377,0.08165,0.03571,0.05278,0.01881,1.4467,2.81373,1.70024,0.00235503,0.00235503,0.00235503
45,106.787,0.94427,2.88328,1.49556,0.03921,0.71429,0.0665,0.02231,1.39453,2.82992,1.57746,0.00234003,0.00234003,0.00234003
46,109.093,1.2806,2.78461,1.91371,0.10029,0.32143,0.07191,0.02483,1.43917,2.9184,1.5975,0.00232503,0.00232503,0.00232503
47,111.389,1.18074,2.85456,1.76006,0.12962,0.14286,0.10851,0.03755,1.44973,3.06217,1.59345,0.00231003,0.00231003,0.00231003
48,113.676,1.06029,2.65511,1.51693,0.13088,0.14286,0.11738,0.03313,1.62406,3.49683,1.74687,0.00229504,0.00229504,0.00229504
49,115.939,1.11773,2.80448,1.56013,0.14396,0.10714,0.1033,0.02754,1.6459,2.86966,1.78866,0.00228004,0.00228004,0.00228004
50,117.937,1.27875,2.58207,2.07076,0.0225,0.71429,0.0923,0.02593,1.58599,2.79473,1.7302,0.00226504,0.00226504,0.00226504
51,120.184,1.2939,3.03197,1.71972,0.07953,0.25,0.05226,0.01621,1.5504,2.94813,1.75357,0.00225004,0.00225004,0.00225004
52,122.309,1.56452,3.10223,2.20466,0.09728,0.07143,0.04937,0.01446,1.52495,3.07008,1.71479,0.00223504,0.00223504,0.00223504
53,125.24,0.9226,2.88214,1.35653,0.09169,0.28571,0.08087,0.03049,1.36591,2.62108,1.52975,0.00222004,0.00222004,0.00222004
54,127.632,1.22319,3.01735,1.63477,0.07478,0.39286,0.06727,0.02468,1.38024,2.68695,1.56562,0.00220504,0.00220504,0.00220504
55,129.652,0.94186,2.54266,1.53173,0.08973,0.39286,0.06995,0.02446,1.44234,2.7596,1.61044,0.00219004,0.00219004,0.00219004
56,131.687,1.18921,2.70352,1.76248,0.11017,0.07079,0.05658,0.01469,1.53212,3.17289,1.72982,0.00217504,0.00217504,0.00217504
57,133.881,0.97076,2.89249,1.28361,0.02622,0.78571,0.07474,0.02175,1.51029,2.88231,1.7038,0.00216004,0.00216004,0.00216004
58,136.947,1.02055,2.68305,1.38288,0.02506,0.75,0.06036,0.01604,1.47146,2.81915,1.6386,0.00214504,0.00214504,0.00214504
59,139.159,1.48057,3.0361,1.83519,0.03141,0.85714,0.08596,0.0262,1.43692,2.75655,1.62875,0.00213004,0.00213004,0.00213004
60,141.413,0.87542,2.62913,1.17076,0.02751,0.82143,0.08596,0.02968,1.41917,2.83545,1.58025,0.00211504,0.00211504,0.00211504
61,143.526,1.40294,2.44121,2.13279,0.09895,0.17857,0.05831,0.01788,1.45735,3.17287,1.69038,0.00210005,0.00210005,0.00210005
62,145.828,1.23674,2.93849,1.62796,0.0312,0.71429,0.05476,0.01775,1.50209,3.27532,1.73979,0.00208505,0.00208505,0.00208505
63,148.414,1.22514,2.73602,1.77598,0.03448,0.82143,0.08155,0.02835,1.43625,3.11018,1.62008,0.00207005,0.00207005,0.00207005
64,150.48,1.04844,2.67217,1.63783,0.04412,0.75,0.09654,0.02847,1.53132,3.11397,1.72757,0.00205505,0.00205505,0.00205505
65,153.126,1.06401,2.41234,1.61282,0.04132,0.53571,0.0746,0.02392,1.51902,2.81825,1.72443,0.00204005,0.00204005,0.00204005
66,155.814,1.27652,2.51421,1.80836,0.04762,0.5,0.0712,0.02652,1.4933,2.88219,1.7153,0.00202505,0.00202505,0.00202505
67,157.769,1.18942,2.55257,1.91399,0.15336,0.17857,0.12018,0.04956,1.45004,2.84198,1.65579,0.00201005,0.00201005,0.00201005
68,159.923,1.10828,2.39166,1.69027,0.20035,0.25,0.15962,0.06648,1.4605,3.2531,1.64617,0.00199505,0.00199505,0.00199505
69,162.144,1.35583,2.74703,1.86406,0.26257,0.38169,0.19007,0.07106,1.55468,3.55492,1.739,0.00198005,0.00198005,0.00198005
70,164.428,1.05891,2.77742,1.43649,0.20327,0.32143,0.17573,0.0558,1.63459,3.60394,1.85733,0.00196505,0.00196505,0.00196505
71,166.603,1.24181,2.65776,1.64225,0.22657,0.17857,0.22241,0.0689,1.58656,2.77079,1.74741,0.00195005,0.00195005,0.00195005
72,169.279,0.88286,2.5684,1.32586,0.21081,0.78571,0.23897,0.08389,1.54538,2.47145,1.61477,0.00193505,0.00193505,0.00193505
73,171.461,0.97239,2.22744,1.54364,0.21135,0.67955,0.22105,0.08499,1.55087,2.52246,1.68146,0.00192005,0.00192005,0.00192005
74,173.774,1.4179,2.79093,1.91856,0.055,0.78571,0.15445,0.04562,1.62702,2.66964,1.8151,0.00190505,0.00190505,0.00190505
75,176.309,1.05132,2.44672,1.60208,0.06628,0.82143,0.18489,0.05042,1.58736,2.63732,1.80257,0.00189006,0.00189006,0.00189006
76,178.541,1.24266,2.51754,1.85339,0.26767,0.21429,0.2295,0.0812,1.59284,2.60924,1.79488,0.00187506,0.00187506,0.00187506
77,181.273,1.07927,2.43665,1.5842,0.2842,0.28571,0.21967,0.06971,1.66557,2.64907,1.91023,0.00186006,0.00186006,0.00186006
78,183.509,1.24467,2.40193,1.65042,0.1306,0.89286,0.20888,0.06439,1.59576,2.55126,1.78999,0.00184506,0.00184506,0.00184506
79,185.464,1.20592,2.43363,1.78981,0.0446,0.92857,0.1592,0.04971,1.54863,2.60408,1.72793,0.00183006,0.00183006,0.00183006
80,187.989,1.03539,2.39776,1.5885,0.03646,0.5,0.08358,0.02483,1.63069,2.92932,1.91909,0.00181506,0.00181506,0.00181506
81,190.792,1.01318,2.31504,1.69198,0.08073,0.07143,0.0921,0.02693,1.48898,2.99259,1.73172,0.00180006,0.00180006,0.00180006
82,193.743,1.55757,2.86571,2.00722,0.12767,0.14286,0.09279,0.03459,1.45812,3.26174,1.71586,0.00178506,0.00178506,0.00178506
83,195.713,1.02904,2.18177,1.47443,0.20565,0.25,0.15152,0.04789,1.53183,3.61145,1.78153,0.00177006,0.00177006,0.00177006
84,197.661,1.06246,2.34044,1.62126,0.17311,0.21429,0.09663,0.03458,1.52271,4.85853,1.80884,0.00175506,0.00175506,0.00175506
85,200.017,1.08957,2.43279,1.56969,0.12541,0.10714,0.09038,0.03562,1.38579,4.13242,1.65454,0.00174006,0.00174006,0.00174006
86,202.045,1.12596,2.4545,1.69924,0.12237,0.21429,0.07031,0.0269,1.4739,3.86629,1.74993,0.00172506,0.00172506,0.00172506
87,204.159,1.33705,2.41031,1.77763,0.02842,0.39286,0.04351,0.01646,1.5152,3.24718,1.80144,0.00171006,0.00171006,0.00171006
88,206.371,1.15038,2.38048,1.69195,0.02688,0.35714,0.04294,0.01267,1.59285,3.12503,1.86241,0.00169507,0.00169507,0.00169507
89,208.84,1.15198,2.39108,1.6209,0.08224,0.07143,0.05295,0.01908,1.52131,3.03775,1.76346,0.00168007,0.00168007,0.00168007
90,211.713,0.97751,2.24845,1.45134,0.13593,0.25,0.0637,0.02765,1.40941,2.94439,1.62082,0.00166507,0.00166507,0.00166507
91,214.226,1.41788,2.59811,2.01351,0.14139,0.25,0.06461,0.02729,1.36698,3.2167,1.55461,0.00165007,0.00165007,0.00165007
92,216.448,1.17925,2.42271,1.79623,0.06154,0.32143,0.06584,0.02916,1.33955,3.3758,1.51785,0.00163507,0.00163507,0.00163507
93,218.297,1.13382,2.45768,1.48121,0.13494,0.32143,0.07545,0.03466,1.39083,3.36141,1.53664,0.00162007,0.00162007,0.00162007
94,220.737,1.24265,2.30667,1.66866,0.05974,0.42857,0.07896,0.03697,1.31665,3.28204,1.45503,0.00160507,0.00160507,0.00160507
95,223.746,0.79806,1.89815,1.41048,0.03837,0.57143,0.07992,0.02823,1.44398,3.12738,1.55593,0.00159007,0.00159007,0.00159007
96,226.127,1.28843,2.36513,1.628,0.03712,0.57143,0.07372,0.03062,1.38873,3.1678,1.53052,0.00157507,0.00157507,0.00157507
97,228.296,1.21991,2.42294,1.788,0.04595,0.60714,0.10237,0.03853,1.41531,3.11831,1.56595,0.00156007,0.00156007,0.00156007
98,230.955,0.87708,2.15483,1.22131,0.05322,0.67857,0.11017,0.04311,1.386,3.056,1.52706,0.00154507,0.00154507,0.00154507
99,233.811,1.24424,2.27603,1.72215,0.05233,0.64286,0.12583,0.05186,1.43511,3.21724,1.55011,0.00153007,0.00153007,0.00153007
100,236.558,1.00769,2.23196,1.32458,0.06563,0.75,0.15307,0.06284,1.49425,3.54863,1.6012,0.00151507,0.00151507,0.00151507
101,238.44,1.06049,2.32648,1.38679,0.0509,0.60714,0.13782,0.05893,1.46496,3.57596,1.58738,0.00150008,0.00150008,0.00150008
102,240.593,1.18233,2.25304,1.66552,0.05013,0.67857,0.15888,0.07289,1.33601,3.39254,1.45828,0.00148508,0.00148508,0.00148508
103,243.491,0.82402,1.95478,1.2878,0.04986,0.64286,0.15501,0.07371,1.2464,3.41468,1.38533,0.00147008,0.00147008,0.00147008
104,245.384,1.14493,2.15323,1.80675,0.1858,0.14286,0.14574,0.05085,1.45563,3.7265,1.60146,0.00145508,0.00145508,0.00145508
105,247.6,1.03482,2.23181,1.46519,0.0459,0.5,0.11493,0.04531,1.43795,3.02866,1.60235,0.00144008,0.00144008,0.00144008
106,250.216,1.0456,2.26531,1.62497,0.05204,0.5,0.09654,0.03695,1.48988,3.08027,1.6782,0.00142508,0.00142508,0.00142508
107,252.271,0.87925,2.35887,1.45767,0.1822,0.32143,0.12531,0.04699,1.47932,3.47617,1.65612,0.00141008,0.00141008,0.00141008
108,254.254,1.17109,1.97073,1.70261,0.06957,0.57143,0.11387,0.04568,1.44481,3.39614,1.60954,0.00139508,0.00139508,0.00139508
109,256.505,1.1372,2.45523,1.5471,0.07368,0.5,0.09288,0.0308,1.51671,3.16117,1.69203,0.00138008,0.00138008,0.00138008
110,258.988,1.35599,2.22789,2.02492,0.06316,0.42857,0.08173,0.02626,1.5419,3.20016,1.71868,0.00136508,0.00136508,0.00136508
111,261.14,1.31765,2.45146,1.88595,0.05729,0.39286,0.06228,0.01984,1.5742,3.32778,1.7547,0.00135008,0.00135008,0.00135008
112,263.128,1.00917,2.17522,1.49713,0.04219,0.35714,0.04177,0.01479,1.53407,3.58252,1.7609,0.00133508,0.00133508,0.00133508
113,265.55,0.92646,2.19379,1.45062,0.02583,0.25,0.02187,0.00928,1.51293,3.40281,1.72497,0.00132008,0.00132008,0.00132008
114,267.621,1.18686,2.25988,1.70016,0.01639,0.21429,0.01691,0.00504,1.65524,3.67541,1.89211,0.00130508,0.00130508,0.00130508
115,270.121,1.11849,2.24964,1.77557,0.01624,0.25,0.02613,0.00762,1.77924,4.41405,2.14241,0.00129009,0.00129009,0.00129009
116,272.621,0.95933,2.31,1.23307,0.01489,0.25,0.0268,0.0079,1.76877,5.34333,2.12247,0.00127509,0.00127509,0.00127509
117,274.348,1.34483,2.5512,1.71532,0.01863,0.32143,0.03055,0.00934,1.62724,4.07697,1.88787,0.00126009,0.00126009,0.00126009
118,277.275,1.32652,2.37765,1.498,0.01957,0.32143,0.02284,0.00763,1.54286,3.77799,1.7704,0.00124509,0.00124509,0.00124509
119,280.037,1.20011,2.01912,1.6202,0.01887,0.28571,0.01637,0.00594,1.50396,3.4491,1.70427,0.00123009,0.00123009,0.00123009
120,282.563,1.20429,2.34468,1.66566,0.01583,0.21429,0.01618,0.00436,1.66515,3.64668,1.95443,0.00121509,0.00121509,0.00121509
121,284.842,1.03017,2.05099,1.47603,0.02571,0.35714,0.03427,0.00961,1.78908,4.57583,2.19849,0.00120009,0.00120009,0.00120009
122,287.408,1.02337,2.09759,1.4436,0.02755,0.35714,0.03625,0.01058,1.76369,4.91876,2.13493,0.00118509,0.00118509,0.00118509
123,289.254,0.96876,2.01673,1.42472,0.03478,0.42857,0.0448,0.01826,1.59746,5.43399,1.87376,0.00117009,0.00117009,0.00117009
124,292.005,0.88664,2.07027,1.38136,0.02917,0.25,0.03693,0.01718,1.41992,3.34214,1.63981,0.00115509,0.00115509,0.00115509
125,295.003,1.01093,2.01267,1.48005,0.03017,0.25,0.0363,0.01885,1.3483,3.28176,1.52999,0.00114009,0.00114009,0.00114009
126,297.372,1.16997,2.07086,1.91582,0.03571,0.28571,0.04086,0.0214,1.366,3.40202,1.53444,0.00112509,0.00112509,0.00112509
127,299.813,0.83002,1.97592,1.3954,0.04688,0.32143,0.04905,0.02296,1.38055,3.39491,1.56485,0.00111009,0.00111009,0.00111009
128,301.683,0.89253,2.03826,1.40933,0.05914,0.39286,0.05878,0.02582,1.41285,4.0888,1.60642,0.0010951,0.0010951,0.0010951
129,304.44,1.22191,2.12548,1.76297,0.06341,0.46429,0.06744,0.02926,1.40446,3.97587,1.59076,0.0010801,0.0010801,0.0010801
130,306.81,0.93085,1.92954,1.45637,0.06757,0.53571,0.07822,0.03652,1.33364,4.33527,1.50372,0.0010651,0.0010651,0.0010651
131,309.066,0.80739,1.81261,1.37435,0.06303,0.53571,0.0797,0.03518,1.3704,5.39382,1.53282,0.0010501,0.0010501,0.0010501
132,311.761,1.10162,1.76992,1.55443,0.0597,0.42857,0.05844,0.02714,1.35396,4.27178,1.51727,0.0010351,0.0010351,0.0010351
133,314.364,1.07454,2.09712,1.571,0.06103,0.46429,0.06204,0.02883,1.3566,5.97944,1.52153,0.0010201,0.0010201,0.0010201
134,316.236,1.07902,2.68828,1.53125,0.0597,0.42857,0.05575,0.02737,1.35,5.14641,1.51728,0.0010051,0.0010051,0.0010051
135,318.415,1.07704,1.95869,1.55592,0.05957,0.5,0.06598,0.02992,1.35751,7.35245,1.52185,0.000990101,0.000990101,0.000990101
136,320.935,0.98044,1.90326,1.3215,0.06051,0.67857,0.11414,0.04611,1.35517,10.5618,1.51187,0.000975101,0.000975101,0.000975101
137,323.651,1.11426,2.03517,1.54623,0.17207,0.43054,0.16249,0.0612,1.37665,10.4991,1.5321,0.000960102,0.000960102,0.000960102
138,325.775,0.90199,2.16914,1.45668,0.06468,0.46429,0.09084,0.04264,1.39145,4.09651,1.55262,0.000945103,0.000945103,0.000945103
139,327.701,0.85709,2.18217,1.12843,0.0625,0.35714,0.07815,0.03701,1.38284,3.35289,1.54271,0.000930104,0.000930104,0.000930104
140,329.914,0.77145,1.76167,1.30012,0.06452,0.35714,0.08401,0.03844,1.39197,3.48859,1.56529,0.000915104,0.000915104,0.000915104
141,332.374,1.00723,1.85146,1.55043,0.06849,0.35714,0.09087,0.04234,1.35676,3.56869,1.53742,0.000900105,0.000900105,0.000900105
142,334.268,1.06116,2.21756,1.55728,0.07317,0.42857,0.10809,0.04784,1.37443,4.39095,1.54028,0.000885106,0.000885106,0.000885106
143,336.723,1.27697,2.38565,1.75592,0.05594,0.28571,0.07566,0.03948,1.35032,3.03998,1.51973,0.000870107,0.000870107,0.000870107
144,338.967,0.89136,1.84436,1.43119,0.04651,0.28571,0.06734,0.03521,1.35588,2.97236,1.54143,0.000855107,0.000855107,0.000855107
145,340.892,1.18085,2.18339,1.53985,0.03865,0.28571,0.06944,0.03296,1.36199,3.03465,1.57766,0.000840108,0.000840108,0.000840108
146,342.959,0.86577,1.75108,1.41,0.04265,0.32143,0.07927,0.03868,1.29132,3.28236,1.50676,0.000825109,0.000825109,0.000825109
147,345.141,0.92196,1.86347,1.43124,0.17504,0.16701,0.09974,0.03881,1.28761,4.37617,1.49183,0.00081011,0.00081011,0.00081011
148,347.633,0.7528,1.86211,1.38344,0.04727,0.46429,0.09585,0.0382,1.2491,4.77135,1.44655,0.00079511,0.00079511,0.00079511
149,349.867,1.26611,1.88443,1.67057,0.0375,0.32143,0.06395,0.03578,1.19467,3.89204,1.38481,0.000780111,0.000780111,0.000780111
150,351.733,1.18327,1.82848,1.85101,0.03211,0.25,0.04845,0.0289,1.20355,3.53416,1.38741,0.000765112,0.000765112,0.000765112
151,353.978,1.0465,1.94658,1.56897,0.03167,0.25,0.0439,0.02612,1.21458,3.31773,1.38794,0.000750113,0.000750113,0.000750113
152,356.215,1.10953,2.15202,1.72223,0.0228,0.25,0.02835,0.01877,1.16153,3.89024,1.35441,0.000735113,0.000735113,0.000735113
153,358.558,0.93479,2.00941,1.43131,0.06188,0.10714,0.02924,0.01508,1.22216,5.75254,1.41482,0.000720114,0.000720114,0.000720114
154,361.039,0.84485,1.79699,1.34041,0.02446,0.32143,0.02603,0.01296,1.22962,5.72994,1.42215,0.000705115,0.000705115,0.000705115
155,363.033,0.55524,1.96437,0.99034,0.02769,0.32143,0.02502,0.01353,1.25722,5.49432,1.44926,0.000690115,0.000690115,0.000690115
156,365.362,0.68874,1.83161,1.1395,0.02759,0.28571,0.02393,0.01274,1.33641,4.76692,1.5029,0.000675116,0.000675116,0.000675116
157,367.599,1.51852,1.9198,1.90406,0.02954,0.25,0.03449,0.01732,1.41542,3.99193,1.57219,0.000660117,0.000660117,0.000660117
158,369.837,1.14532,1.68505,2.04951,0.03226,0.28571,0.03712,0.01693,1.47797,4.19296,1.62751,0.000645118,0.000645118,0.000645118
159,371.787,1.17188,2.17004,1.59918,0.03422,0.32143,0.05158,0.02083,1.53388,5.39575,1.67551,0.000630118,0.000630118,0.000630118
160,373.95,0.66186,1.85076,1.11203,0.04389,0.5,0.06638,0.02824,1.50145,6.63155,1.63159,0.000615119,0.000615119,0.000615119
161,376.513,1.01318,1.94419,1.5297,0.04545,0.39286,0.05264,0.02422,1.45628,5.07973,1.59609,0.00060012,0.00060012,0.00060012
162,378.504,1.09775,1.87219,1.77797,0.05246,0.57143,0.08584,0.03119,1.43757,7.54487,1.59027,0.000585121,0.000585121,0.000585121
163,380.758,0.98054,1.68424,1.47894,0.03937,0.35714,0.04942,0.02122,1.35231,5.16103,1.50009,0.000570121,0.000570121,0.000570121
164,383.021,0.97663,1.67903,1.59248,0.02956,0.21429,0.03967,0.02118,1.28355,4.07397,1.43918,0.000555122,0.000555122,0.000555122
165,385.554,0.97997,1.98878,1.46751,0.04605,0.25,0.05146,0.03013,1.21291,3.60915,1.36649,0.000540123,0.000540123,0.000540123
166,388.145,1.02743,1.74561,1.75856,0.04545,0.25,0.05353,0.03105,1.18716,3.5688,1.34242,0.000525124,0.000525124,0.000525124
167,390.058,1.11509,1.98119,1.62475,0.04192,0.25,0.05357,0.03587,1.11475,3.35749,1.28184,0.000510125,0.000510125,0.000510125
168,392.347,1.07984,1.62765,1.6104,0.04082,0.28571,0.05301,0.03561,1.1097,3.51252,1.27647,0.000495125,0.000495125,0.000495125
169,395.019,0.88464,1.77395,1.35208,0.03333,0.28571,0.05196,0.03556,1.0922,3.85137,1.25312,0.000480126,0.000480126,0.000480126
170,397.14,1.00639,1.79946,1.60549,0.02606,0.28571,0.04324,0.0305,1.12491,4.54713,1.27902,0.000465127,0.000465127,0.000465127
171,401.71,0.62384,1.61844,1.11194,0.12103,0.10714,0.04041,0.02592,1.22364,5.33303,1.37141,0.000450128,0.000450128,0.000450128
172,404.536,0.62371,1.26429,1.12931,0.02036,0.28571,0.0302,0.01966,1.23812,4.60277,1.38289,0.000435128,0.000435128,0.000435128
