epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,100.124,1.22127,1.93661,1.73105,0.22103,0.89525,0.24282,0.09209,1.5926,11.0964,1.93534,0.00238503,0.00238503,0.00238503
43,102.106,1.28763,1.7003,1.69945,0.26467,0.76923,0.32466,0.15965,1.19459,13.2443,1.47594,0.00237003,0.00237003,0.00237003
44,104.202,1.23089,1.75561,1.74001,0.2785,0.76923,0.35631,0.14208,1.37348,9.93441,1.67565,0.00235503,0.00235503,0.00235503
45,106.53,1.22256,1.63173,1.74623,0.2386,0.92308,0.31303,0.10817,1.69505,9.34239,2.05747,0.00234003,0.00234003,0.00234003
46,108.658,1.15605,1.51291,1.70193,0.30006,0.53846,0.30127,0.12081,1.43758,8.94516,1.7176,0.00232503,0.00232503,0.00232503
47,111.046,1.18604,1.51437,1.68102,0.27389,0.61538,0.28591,0.12728,1.28008,8.29929,1.52941,0.00231003,0.00231003,0.00231003
48,113.495,1.15831,1.82478,1.76391,0.23109,0.84615,0.24984,0.11559,1.29636,7.29841,1.5333,0.00229504,0.00229504,0.00229504
49,115.654,1.16941,1.58054,1.66766,0.22409,0.91105,0.2262,0.11796,1.17044,7.08712,1.37141,0.00228004,0.00228004,0.00228004
50,117.583,1.21721,1.55242,1.70532,0.22965,0.84615,0.24391,0.14293,1.05431,6.8848,1.24739,0.00226504,0.00226504,0.00226504
51,120.127,1.23752,1.52535,1.72274,0.28143,0.46154,0.26919,0.14636,1.17557,6.5464,1.39517,0.00225004,0.00225004,0.00225004
52,122.454,1.082,1.43119,1.66201,0.31224,0.53846,0.28673,0.18617,0.90564,8.88617,1.13456,0.00223504,0.00223504,0.00223504
53,124.998,1.18268,1.51396,1.70349,0.20304,0.84615,0.23473,0.12354,1.20469,7.72477,1.44026,0.00222004,0.00222004,0.00222004
54,127.433,1.10288,1.57169,1.60959,0.21343,0.84615,0.22397,0.13898,1.0111,7.56946,1.23543,0.00220504,0.00220504,0.00220504
55,129.586,1.12389,1.45425,1.59276,0.20431,0.76923,0.26015,0.1549,1.04538,7.83299,1.26651,0.00219004,0.00219004,0.00219004
56,131.617,1.20747,1.64183,1.84879,0.30985,0.53846,0.30439,0.13406,1.36605,9.53677,1.64382,0.00217504,0.00217504,0.00217504
57,133.868,1.2302,1.52994,1.75081,0.33957,0.61538,0.30324,0.15338,1.28424,9.75038,1.52499,0.00216004,0.00216004,0.00216004
58,136.956,1.17526,1.5768,1.74603,0.28573,0.53846,0.26632,0.13047,1.31461,8.77808,1.52659,0.00214504,0.00214504,0.00214504
