Sample_ID,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5
0001_petal_cutout,0.006656294571172671,0.0,0.22526249608924911,0.0014151708057500861,0.34398983572911934,0.4226762028047088
0002_petal_cutout,0.024582630495347528,4.227596907090103e-07,0.10300863979887913,0.01571200482509727,0.2148787454747098,0.6418175566462756
0003_petal_cutout,0.43489543336750425,0.000233504118471191,0.013797438170868787,0.0036620057821554956,0.02150632803970559,0.5259052905212946
0004_petal_cutout,0.5197466694231817,0.0004656940977061028,0.02110612303214817,0.0028760586276186527,0.04100775251069725,0.4147977023086481
0005_petal_cutout,0.6890000634443211,0.0010852392946243314,0.03398311129243479,0.006447137935635594,0.16120320021121554,0.10828124782176869
0006_petal_cutout,0.3693887823700549,0.004088015692206516,0.2972435167834364,0.0434897558421397,0.24138256086824122,0.04440736844392124
0008_petal_cutout,0.0779745980675465,0.0,0.4185932612387166,0.010797509458694551,0.3743831739506063,0.1182514572844361
0009_petal_cutout,0.45213396339633966,0.0,0.007864536453645364,0.44955745574557454,0.0,0.09044404440444044
0010_petal_cutout,0.02607719272986144,0.0,0.10669992181141554,0.0009001185826869277,0.5244034370981837,0.34191932977785244
0011_petal_cutout,0.004339544477626793,0.0,0.019064142404553275,0.0008179370722785096,0.36541062885537484,0.6103677471901666
0012_petal_cutout,0.008892296686672015,0.0,0.20033575753514016,4.9461125321965695e-05,0.6545424101849664,0.13618007446789945
0013_petal_cutout,0.008493894735595505,0.0016042629209145891,0.284718532148067,0.012128052861302103,0.5886450780821649,0.10441017925195584
0014_petal_cutout,5.5424183466003494e-05,0.9461720735473849,0.004341020643937821,0.04943148162521133,0.0,0.0
0015_petal_cutout,0.004823178500935423,0.0,0.5924539057728074,0.0020879658128560097,0.30424710956798373,0.09638784034541742
0016_petal_cutout,0.01124062321645963,0.0,0.6540633368510046,2.0596596881577734e-05,0.2441053819395145,0.09057006139613971
0017_petal_cutout,0.00661657659816769,0.0,0.053665122710734765,0.0011686132811488698,0.20184061611143533,0.7367090712985134
0018_petal_cutout,0.019928578412949056,2.8752065720671135e-05,0.056808501294328226,0.0008113663102947196,0.17445540311973257,0.7479673987969747
0019_petal_cutout,0.04957594237107974,0.11851156895084725,0.3998497895306796,0.09626944065314107,0.07911700197868608,0.25667625651556625
0020_petal_cutout,0.1862669793275789,0.06318301299909913,0.14563201646361046,0.029150083190197195,0.2685874902336598,0.30718041778585453
0021_petal_cutout,0.14460301559389657,0.04243758356944164,0.11634224884023887,0.022588664221745467,0.21148384933208939,0.4625446384425881
0022_petal_cutout,0.003614225821400674,0.23672436285341558,0.015362316853035006,0.7442990944721487,0.0,0.0
0023_petal_cutout,0.0066212828829573965,0.6864763154357811,0.009033584814509527,0.29786862889029037,0.0,1.8797646158748002e-07
0024_petal_cutout,0.03328009347716954,0.15230753102136724,0.019934015450377405,0.7944349327946243,0.0,4.342725646158559e-05
0025_petal_cutout,1.4212650733056941e-05,0.7035888522284384,0.0035450035689545173,0.2928498259739877,0.0,2.105577886378806e-06
0026_petal_cutout,0.00021632349657999485,0.7077199333684016,0.012723613273009873,0.27932046408959216,0.0,1.966577241636317e-05
0027_petal_cutout,0.013457316648259342,0.3713493462851379,0.015278037496797727,0.599915299569805,0.0,0.0
0028_petal_cutout,0.007243626005166599,0.5429613366900536,0.0850391555093579,0.3647556327066509,0.0,2.4908877100347655e-07
0029_petal_cutout,0.0008499859834196538,0.724492794064805,0.08897734837126695,0.1856777843463216,0.0,2.0872341867124104e-06
0030_petal_cutout,0.008764120610768054,0.0,0.19733088197532012,0.0009402101145593003,0.15142024265607906,0.6415445446432735
0031_petal_cutout,0.10515843410638322,5.884353126756112e-06,0.0890058847734377,0.004403177382564074,0.1485664665005878,0.6528601528839004
0032_petal_cutout,0.03837470360068274,1.614938669385663e-05,0.09029841080079831,0.0023533859677979017,0.12849668788246255,0.7404606623615646
0033_petal_cutout,0.0920072676417163,9.046106194049834e-07,0.08743774017411945,0.003453011810596247,0.15149638427135423,0.6656046914915944
0034_petal_cutout,0.06138184134632226,1.4718665947218275e-06,0.5708822986552733,0.014297417727808888,0.2493674653309183,0.10406950507308259
0035_petal_cutout,0.15195193211554583,0.0,0.2512141459820635,0.08229567338228196,0.2510708569396103,0.2634673915804985
0036_petal_cutout,0.0221330226159562,0.24770805439044902,0.011023399916959505,0.7191355230766353,0.0,0.0
0037_petal_cutout,0.13108649775455844,0.0,0.4279925280626579,0.08257949120481772,0.08852283401747456,0.2698186489604914
0038_petal_cutout,0.49229404942678484,0.18874179517947598,0.04096380831348926,0.14066358297075676,0.022081012014109655,0.11525575209538351
0039_petal_cutout,0.12538783071005835,1.9723130636747466e-07,0.038033493425984714,0.0001735635496033777,0.8344046937895214,0.0020002212935257445
0040_petal_cutout,0.1374922129576385,0.020677592486103125,0.20748574372244585,0.6207081416522906,0.012420332566609162,0.001215976614912785
0041_petal_cutout,0.02271338722354509,0.0,0.6522046764479513,0.005165200853916599,0.3113897702164654,0.008526965258121627
0042_petal_cutout,0.019005118628904943,0.0,0.6057702816266475,0.003327079628883367,0.21282613982365603,0.15907138029190823
0043_petal_cutout,0.011488989268633646,0.7717386103446802,0.030996841862903402,0.1846579484783419,0.0,0.0011176100454408755
0044_petal_cutout,0.01039902288165481,0.6964102375261417,0.0647077438988849,0.22835278920108043,0.0,0.00013020649223811635
