Sample_ID,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5
0008_petal_cutout,0.09829177465963596,0.0,0.4324672048936952,0.12097278080654611,0.34030684898859,0.007961390651532755
0014_petal_cutout,7.275057354404115e-05,0.9403917466399468,0.0038545645108111607,0.0,0.0,0.05568093827569792
0032_petal_cutout,0.03417376142776506,1.814040697118142e-05,0.09128606747058904,0.7461543166812877,0.12641242148881637,0.0019552925245705727
0044_petal_cutout,0.01063542904412464,0.6971828299546953,0.05598065375662514,0.00015584089539749549,0.0,0.23604524634915747
0060_petal_cutout,0.09841752622050969,0.0,0.0034767348176975464,0.7557524044430198,0.14235186617904083,1.4683397321131627e-06
0063_petal_cutout,0.0002255197210912438,0.6818253458700039,0.011568001552888618,2.079761543313227e-05,0.0,0.30636033524058315
0081_petal_cutout,0.01127926880330106,1.084732819459239e-06,0.11503624092349814,0.33796163516964134,0.5355869380812812,0.0001348322894587834
0088_petal_cutout,0.019957451795402727,3.287683464262396e-05,0.05809130442905555,0.7485284886870933,0.17287501003895966,0.000514868214846111
0091_petal_cutout,0.5619904834948785,0.10330171025290033,0.11362101776617212,0.046762489073253255,0.1121520857385752,0.06217221367422068
0179_petal_cutout,0.1979246242667574,0.0,0.07590627354491183,0.43976719719351715,0.24337123925417117,0.04303066574064247
